min_elect,-78.58655422
mode_1_vib
M,1.0424200262076386
K,2.4895853692132445e+28
step_size,0.19649902650863027
sample,total energy(HARTREE)
-3,0.018666220000000067
-2,0.007956370000002266
-1,0.0019332499999933361
0,0
1,0.0019332499999933361
2,0.007956379999995988
3,0.01866624000000172
mode_2_vib
M,1.160544571315729
K,3.4399627882060604e+28
step_size,0.17176876123497065
sample,total energy(HARTREE)
-3,0.021058400000001143
-2,0.009235969999991767
-1,0.0022753199999954177
0,0
1,0.0022753199999954177
2,0.009235969999991767
3,0.021058400000001143
mode_3_vib
M,1.5186332087135683
K,3.544345200382343e+28
step_size,0.14904008252834297
sample,total energy(HARTREE)
-3,0.022177769999998986
-2,0.009552839999997786
-1,0.002325249999998391
0,0
1,0.0023243899999982887
2,0.009551230000013788
3,0.022205009999993308
mode_4_vib
M,1.0079724756604582
K,4.048610901563197e+28
step_size,0.17695493761085823
sample,total energy(HARTREE)
-3,0.0219487299999912
-2,0.00976623999999049
-1,0.0024390799999878254
0,0
1,0.0024390799999878254
2,0.00976623999999049
3,0.0219487299999912
mode_5_vib
M,1.5256955881035719
K,5.512359155646643e+28
step_size,0.13315123846827082
sample,total energy(HARTREE)
-2,0.01148815999999897
-1,0.002857439999999656
0,0
1,0.00283965999999225
2,0.011407669999996983
mode_6_vib
M,1.1951479369722846
K,6.841367424848861e+28
step_size,0.14253350669491133
sample,total energy(HARTREE)
-2,0.012344310000003134
-1,0.003119519999998488
0,0
1,0.0032209900000026437
2,0.013146239999997533
mode_7_vib
M,1.112166967763779
K,7.7330458663963e+28
step_size,0.14329825090165924
sample,total energy(HARTREE)
-2,0.013538839999995389
-1,0.003370889999999349
0,0
1,0.003370899999993071
2,0.013538850000017533
mode_8_vib
M,3.3248531830330603
K,1.0388560186913305e+29
step_size,0.07698186982693593
sample,total energy(HARTREE)
-2,0.013512620000000197
-1,0.0036269000000004326
0,0
1,0.004197410000003288
2,0.0181321999999966
mode_9_vib
M,1.0475467556767732
K,3.52687346705311e+29
step_size,0.10103674677843806
sample,total energy(HARTREE)
-2,0.029359149999990564
-1,0.007200900000015054
0,0
1,0.007200869999991255
2,0.029358899999991195
mode_10_vib
M,1.0749062810694052
K,3.5677535831306984e+29
step_size,0.09945566346803167
sample,total energy(HARTREE)
-2,0.03527907000000141
-1,0.007984199999995667
0,0
1,0.006500019999990059
2,0.023748490000002676
mode_11_vib
M,1.1151744690489898
K,3.7075677832022905e+29
step_size,0.09670965811969946
sample,total energy(HARTREE)
-2,0.030272650000014778
-1,0.007399179999993066
0,0
1,0.007377489999996101
2,0.030116829999997208
mode_12_vib
M,1.1179962885314347
K,3.7673835453240755e+29
step_size,0.09620184294470875
sample,total energy(HARTREE)
-2,0.030411889999996333
-1,0.007446599999994419
0,0
1,0.0074466200000102845
2,0.03041196000000923
